City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Saint-Philippe,RE,-21.36,55.77,64.4,77,40,6.93,scattered clouds
83,Sao Filipe,CV,14.9,-24.5,79.59,82,24,11.95,light rain
84,Vao,NC,-22.67,167.48,65.68,70,100,21.52,overcast clouds
85,La Ronge,CA,55.1,-105.28,59.0,44,20,21.92,few clouds
86,Maceio,BR,-9.67,-35.74,77.0,69,20,9.17,few clouds
87,Jamestown,US,42.1,-79.24,75.99,64,1,6.93,clear sky
88,Berlevag,NO,70.86,29.09,60.8,55,15,20.8,few clouds
89,Butembo,CD,0.15,29.28,57.49,96,1,1.81,clear sky
90,Bredasdorp,ZA,-34.53,20.04,53.6,93,94,2.24,overcast clouds
91,Leshan,CN,29.56,103.76,72.84,81,73,2.1,broken clouds
92,Saskylakh,RU,71.92,114.08,49.86,91,100,11.39,light rain
93,Kapit,MY,2.02,112.93,74.5,95,100,0.2,light rain
94,Cherskiy,RU,68.75,161.3,38.16,75,49,4.99,scattered clouds
95,Thompson,CA,55.74,-97.86,53.6,76,75,14.99,light intensity shower rain
96,Tukrah,LY,32.53,20.58,76.93,83,0,13.35,clear sky
97,Avarua,CK,-21.21,-159.78,80.6,78,92,13.87,overcast clouds
98,Barrow,US,71.29,-156.79,37.4,86,90,18.34,overcast clouds
99,Mar Del Plata,AR,-38.0,-57.56,57.2,58,20,13.87,few clouds
100,Ahipara,NZ,-35.17,173.17,54.14,71,0,7.56,clear sky
101,Sisimiut,GL,66.94,-53.67,50.04,49,100,3.15,overcast clouds
102,Whitehorse,CA,60.72,-135.05,57.2,50,75,12.75,broken clouds
103,Upernavik,GL,72.79,-56.15,38.32,72,0,10.51,clear sky
104,Port-Gentil,GA,-0.72,8.78,77.0,83,90,15.3,overcast clouds
105,Imaculada,BR,-7.39,-37.51,75.33,55,93,11.27,overcast clouds
106,Zhaoyang,CN,42.68,126.03,55.9,91,78,10.18,broken clouds
107,Hami,CN,42.8,93.45,75.72,18,70,3.2,broken clouds
